,Job Title,Company,Location,Salary,Job Description,Post Date,Extract Date
29,Associate Software Engineer,Auto TechLabs Inc.,"White Plains, NY 10604+1 location",Estimated $67.7K - $85.7K a year,"Prepares documentation of all procedures used in systems, including supporting documentation, under guidance.
May develop detailed flowcharts to show processing…",Posted16 days ago,2022-05-05
30,new,Etsy,"Remote in Brooklyn, NY 11201+17 locations",Estimated $103K - $130K a year,"We’re looking for engineers with experience building scalable and performant front-end infrastructure.
You have experience with multiple frontend frameworks; we…",PostedJust posted,2022-05-05
31,"Scientist, Software Developer",Corning,"Corning, NY 14831+1 location",N/A,"Experience with an object-oriented programming language, python preferred.
This position is intended as an entry level software developer position, with no…",Posted28 days ago,2022-05-05
32,new,WELLS FARGO BANK,"New York, NY+13 locations",N/A,"Collaborate and consult with technology colleagues, internal partners, and stakeholders.
Wells Fargo is seeking a Software Engineer, this position is an…",PostedJust posted,2022-05-05
33,Software Engineer - Semantic Models,DocuSign,"Remote in New York, NY",N/A,"The software engineer on this team will have a strong product engineering background and proficiency in NodeJS.
Experience working with SaaS cloud.",Posted21 days ago,2022-05-05
34,Software Engineer II - Community Experiences,"Twitch Interactive, Inc.","New York, NY 10011 (Chelsea area)+126 locations",N/A,"Design reliable web services and applications.
Produce clean, high-quality code, tests, and documentation.
Contribute to code and design reviews with peers and…",Posted30+ days ago,2022-05-05
35,Software Engineer,Chapter Medicare,"Remote in New York, NY",Estimated $116K - $147K a year,You will establish technical strategy and direction and will also support growing and developing a world-class engineering team.,Posted30+ days ago,2022-05-05
36,Software Engineer,The Drivers Cooperative,"Remote in New York, NY",N/A,"Software engineers build the product experiences used by our drivers, rides, and dispatchers.
Design, build, and maintain features for the cooperative’s…",Posted10 days ago,2022-05-05
37,new,GameChanger,"Remote in New York, NY",Estimated $122K - $155K a year,"Solid understanding of software engineering fundamentals.
Experience shipping beautiful, high-quality websites and performant server-side code.",Posted6 days ago,2022-05-05
38,Software Engineer II - Backend,OkCupid,"New York, NY 10014 (West Village area)+2 locations",N/A,ML infrastructure: building out infrastructure to allow our engineers and data scientists to quickly and easily deploy newly trained machine learning models…,Posted30+ days ago,2022-05-05
39,Remote Senior Full Stack Software Engineer,Reaktor,"Temporarily Remote in New York, NY",N/A,"Technical conversation with two engineers from Reaktor.
Passion about working on complex problems at any part of the project, from type system nuances to…",Posted8 days ago,2022-05-05
40,Rotational Software Engineer,Facebook App,"New York, NY+13 locations",N/A,"2+ years experience building software solutions in a corporate or start-up engineering environment, or equivalent, using an industry-standard language (e.g.…",Posted30+ days ago,2022-05-05
41,"Backend Engineer, Messaging",Spotify,"Remote in New York, NY+32 locations",Estimated $130K - $164K a year,We in the Messaging product area are focused on building a robust and scalable messaging platform that can send personalized messages to the right user at the…,Posted30+ days ago,2022-05-05
42,Associate Software Engineer Program - New York - May 2022 Gr...,Fitch Group,"New York, NY+3 locations",Estimated $81.5K - $103K a year,The 12-month program will give graduates the training they need to become a successful software engineer within the Enterprise Technology team.,Posted30+ days ago,2022-05-05
43,new,"JPMorgan Chase Bank, N.A.","New York, NY 10001 (Chelsea area)+27 locations",N/A,"Participate in project planning sessions with project managers, business analysts, and team members to analyze business requirements and outline proposed…",PostedJust posted,2022-05-05
44,"Full Stack Engineer, Cost Engineering",Spotify,"Remote in New York, NY+10 locations",Estimated $113K - $143K a year,"You have experience with backend development in Java or a similar language.
Collaborate closely with engineers, product designers, and product owners to drive…",Posted20 days ago,2022-05-05
45,"Junior Web Engineer - Javascript, NodeJS, React",Amex,"New York, NY",N/A,"If you're a JavaScript enthusiast looking to build highly scalable, performant and fault-tolerant applications, come grow your skills as a software engineer at…",Posted30+ days ago,2022-05-05
