,Job Title,Company,Location,Salary,Job Description,Post Date,Extract Date
93,"Senior Analyst, UX Insights, Peacock",NBCUniversal,"New York, NY 10112 (Midtown area)",N/A,A researcher ready to help conduct primary research and dig into data to identify actionable insights that help to drive and refine the user experience of…,Posted19 days ago,2022-05-05
94,UX Research Director - Channels,"JPMorgan Chase Bank, N.A.","New York, NY+7 locations",N/A,"This role reports to the Managing Director, Head of Research for Digital.
As UX Research Director, within the Digital organization for Chase, you will work with…",Posted11 days ago,2022-05-05
95,User Experience Research Lead-Hybrid,First Republic Bank,"New York, NY 10020 (Midtown area)",N/A,First Republic Bank is looking for someone to join our User Experience and Design team to lead user research across digital platforms.,Posted30+ days ago,2022-05-05
96,Experience Research Manager,M&T Bank,"Buffalo, NY",N/A,"Proven track record presenting to and positively influencing people, from other designers and researchers to senior executive management.",Posted30+ days ago,2022-05-05
97,"UX, ASSOCIATE DIRECTOR",Evoke Health,"New York, NY",N/A,"As part of the creative group, the UX discipline within Evoke is responsible for the design and delivery of websites, online-applications, and thought…",Posted30+ days ago,2022-05-05
98,User Experience Lead- REMOTE,Ryder System,"Remote in Albany, NY 12260+1 location",N/A,"The User Experience Lead will be responsible for the conceptualizing, designing, prototyping, and delivering of compelling and intuitive digital products and…",Posted30+ days ago,2022-05-05
99,"Director, Research and Development",New York University,"New York, NY 10012 (Greenwich Village area)",N/A,The Center for Academic Excellence and Support in the School of Professional Studies seeks an individual to serve as the Director of Research and Development …,Posted30+ days ago,2022-05-05
100,Principal User Experience Researcher,Fiserv,"Albany, NY 12237",N/A,"You will work closely with our UXR (User Experience Research) lead to grow the UXR practice within the Clover product team, which includes design, content…",Posted12 days ago,2022-05-05
101,UX Research Lead – User Journeys,Citi,"New York, NY+1 location",N/A,"The UX Research Lead - User Journeys (SVP) will own the documentation, simplification, and ongoing evolution of client journeys across ICG’s digital platforms…",Posted30+ days ago,2022-05-05
102,Sr. UX Researcher - Maps,Uber,"New York, NY 10007 (Financial District area)",N/A,"We play an integral role in crystallizing user problems, and project vision to find inspiring new ways to Uber's outstanding mobility and delivery options.",Posted30+ days ago,2022-05-05
103,User Experience Research VP/SVP,National Research Group,"New York, NY",N/A,"Coach, manage, motivate, and inspire a team of exceptional researchers to deliver best in class research programs, and continue to build out an extraordinary…",Posted30+ days ago,2022-05-05
104,Senior UX Researcher,Bloomberg,"New York, NY 10261",N/A,"The UX team is responsible for uncovering insights about our users"" needs and goals and translating these insights into valuable and highly usable software…",Posted30+ days ago,2022-05-05
105,"Senior UX Program Manager, UX Programs and Operations",Google,"Hybrid remote in New York, NY",N/A,"Bachelor's degree or equivalent practical experience.
10 years of experience in UX programs and operations or a related field.",Posted30+ days ago,2022-05-05
106,"Product Director, UI/UX Product Line",Metropolitan Transportation Authority,"Manhattan, NY",N/A,"Experience working with user researchers and product managers.
Supervise user experience designers and researchers in prototype development and testing.",Posted30+ days ago,2022-05-05
107,"Senior Manager User Research, Advertiser Experience",Amazon.com Services LLC,"New York, NY",N/A,The Advertising User Experience (AUX) team is seeking an exceptional research leader to support (and grow) a high-performing team of UX researchers – working…,Posted30+ days ago,2022-05-05
108,"VP, UX Research Lead, Design Systems","JPMorgan Chase Bank, N.A.","New York, NY",N/A,"As the lead UX researcher on this team you will work with designers, engineers and content strategists to iterate and prove out the validity of the design…",Posted28 days ago,2022-05-05
109,UX Researcher,RetailMeNot,"Hybrid remote in New York, NY 10011",N/A,"Working with our lead researcher, you’ll be responsible for delivering actionable recommendations.
Work with key stakeholders including designers, other…",Posted14 days ago,2022-05-05
110,new,Warby Parker,"New York, NY 10281 (Battery Park area)",N/A,"Collaborate with other researchers on the Consumer Insights & Research team to share learnings and best practices.
Knowledgeable about customer journey mapping.",PostedToday,2022-05-05
111,new,Clarifai,"New York, NY",N/A,"Collaborate with product teams and other researchers to organize opportunities, execute research and synthesize insights.",PostedToday,2022-05-05
